Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Low 3PD,High 3PD
1765,,0,0,0.003,-0.0541691,-0.958163,-0.121897,1.16372,0.051702,0.0517425
1766,,0.126027,0.000955297,0.0113383,0.0542503,0.0381316,-0.0638901,-0.0373204,0.0537838,-0.0641571
1767,,0.273031,0.00142472,0.0250149,0.0606198,0.0442819,-0.0481412,-0.0179932,0.0601532,-0.0484085
1768,,0.278871,0.000197399,0.0440298,0.0688324,0.0522189,-0.0279373,0.00676641,0.0683658,-0.0282047
1769,,0.242045,-0.00127844,0.068383,0.0756549,0.058824,-0.0113141,0.0270816,0.0751883,-0.0115813
1770,,0.242824,-0.00273384,0.0980744,0.0811619,0.0641677,0.00191484,0.0431851,0.0806955,0.00164802
1771,,0.284142,-0.00454133,0.134104,0.0868047,0.069649,0.0152975,0.0594284,0.0863385,0.0150314
1772,,0.299857,-0.00632004,0.175472,0.0928217,0.0754983,0.0294167,0.0765254,0.0923559,0.0291515
1773,,0.290756,-0.00768095,0.222179,0.0983269,0.0808609,0.0421554,0.0918909,0.0978615,0.0418913
1774,,0.2781,-0.00899457,0.274223,0.1029,0.0853297,0.0525293,0.104329,0.102435,0.0522664
1775,,0.268839,-0.0102608,0.331606,0.10664,0.0890007,0.0607986,0.114164,0.106175,0.0605371
1776,,0.276856,-0.0114799,0.394328,0.109983,0.092293,0.0680424,0.122724,0.10952,0.0677824
1777,,0.305761,-0.0126524,0.462387,0.113608,0.0958604,0.075932,0.132059,0.113145,0.0756735
1778,,0.337875,-0.0137792,0.535785,0.117882,0.100059,0.0853809,0.143292,0.117419,0.0851239
1779,,0.347581,-0.0148612,0.614521,0.122413,0.10451,0.0954394,0.155259,0.121951,0.095184
1780,,0.341674,-0.0159002,0.698596,0.126538,0.108576,0.104497,0.165987,0.126077,0.104243
1781,,0.333722,-0.0173357,0.789008,0.130016,0.112021,0.111936,0.174716,0.129556,0.111683
1782,,0.29102,-0.0187348,0.884759,0.132312,0.114329,0.116427,0.179814,0.131852,0.116176
1783,,0.175605,-0.0196591,0.985849,0.131764,0.113894,0.11394,0.176354,0.131305,0.113692
1784,,0.0902692,-0.0205406,1.09228,0.127972,0.110328,0.10353,0.163189,0.127513,0.103283
1785,,0.162453,-0.0213771,1.20404,0.124415,0.106984,0.0937111,0.150763,0.123957,0.093466
1786,,0.289562,-0.0221664,1.32115,0.124599,0.107245,0.0930656,0.149595,0.124142,0.0928222
1787,,0.352999,-0.0229061,1.44359,0.127959,0.110572,0.100224,0.157999,0.127502,0.0999823
1788,,0.361769,-0.0235941,1.57137,0.132173,0.114727,0.10951,0.169009,0.131716,0.109269
1789,,0.251054,-0.024228,1.70449,0.134248,0.116822,0.113603,0.173656,0.133792,0.113365
1790,,0.0888822,-0.0248062,1.84295,0.131579,0.114341,0.106127,0.164128,0.131124,0.10589
1791,,0.10802,-0.0257757,1.98774,0.126858,0.109876,0.0936353,0.148462,0.126403,0.0933997
1792,,0.232799,-0.026692,2.13788,0.12509,0.108255,0.0883502,0.141639,0.124636,0.0881162
1793,,0.294575,-0.0271103,2.29335,0.126648,0.109841,0.0912257,0.144828,0.126194,0.090993
1794,,0.291738,-0.0274789,2.45416,0.129029,0.112224,0.0961814,0.150576,0.128576,0.0959501
1795,,0.256846,-0.0277995,2.62031,0.130534,0.113764,0.0990562,0.153781,0.130082,0.0988263
1796,,0.245053,-0.0280741,2.79179,0.131111,0.114409,0.0997197,0.154286,0.130659,0.099491
1797,,0.262057,-0.0287504,2.96962,0.131731,0.115096,0.100517,0.154962,0.131279,0.10029
1798,,0.277467,-0.0293838,3.15278,0.132846,0.116262,0.10253,0.157126,0.132395,0.102304
1799,,0.285635,-0.02953,3.34129,0.134247,0.117705,0.105282,0.160202,0.133796,0.105056
1800,,0.30346,-0.03008,3.53613,0.135942,0.119433,0.10879,0.164212,0.135491,0.108566
1801,,0.325814,-0.0305855,3.73631,0.138138,0.121646,0.11354,0.169741,0.137688,0.113316
1802,,0.322938,-0.0314857,3.94382,0.140441,0.123965,0.118538,0.175569,0.139991,0.118316
1803,,0.308295,-0.0318974,4.15568,0.142222,0.125783,0.122256,0.179823,0.141773,0.122035
1804,,0.306252,-0.0313806,4.37287,0.143534,0.127149,0.124917,0.182795,0.143085,0.124697
1805,,0.305549,-0.0312685,4.5954,0.144652,0.12833,0.127221,0.185351,0.144204,0.127002
1806,,0.296562,-0.0315614,4.82427,0.145496,0.129247,0.128901,0.187149,0.145048,0.128682
1807,,0.287336,-0.0318218,5.05848,0.145958,0.129797,0.129665,0.187829,0.14551,0.129448
1808,,-0.206609,-0.0316127,5.29803,0.138011,0.12223,0.109894,0.163349,0.137564,0.109677
1809,,-1.35012,-0.0313782,5.54291,0.103723,0.0892295,0.0257082,0.0599562,0.103276,0.0254917
1810,,-1.75196,-0.0311204,5.79314,0.0475578,0.0350712,-0.11202,-0.108967,0.0471105,-0.112236
1811,,-0.956129,-0.0312737,6.0497,0.00420153,-0.00679246,-0.21846,-0.23941,0.00375433,-0.218676
1812,,-0.279183,-0.0313998,6.3116,-0.0098339,-0.0204087,-0.253201,-0.28188,-0.010281,-0.253416
1813,,-0.0779071,-0.0310632,6.57884,-0.00771146,-0.0184464,-0.248377,-0.27582,-0.00815842,-0.248592
1814,,-0.598962,-0.0307014,6.85141,-0.0111594,-0.0218578,-0.257116,-0.286375,-0.0116063,-0.25733
1815,,-2.06194,-0.0307462,7.13033,-0.047225,-0.056755,-0.345666,-0.394732,-0.0476718,-0.345881
1816,,-2.56318,-0.0311961,7.41558,-0.111935,-0.119343,-0.50442,-0.589057,-0.112381,-0.504634
1817,,-1.39423,-0.0316187,7.70717,-0.158332,-0.164334,-0.618514,-0.728511,-0.158779,-0.618728
1818,,-0.265648,-0.0315879,8.0041,-0.161369,-0.16753,-0.626565,-0.737898,-0.161816,-0.626779
1819,,0.185347,-0.031107,8.30637,-0.137831,-0.145079,-0.569516,-0.667483,-0.138277,-0.569729
1820,,0.311867,-0.0306063,8.61398,-0.107346,-0.115893,-0.49534,-0.576115,-0.107792,-0.495553
1821,,0.318984,-0.0300866,8.92692,-0.0780668,-0.0878338,-0.423986,-0.488263,-0.0785132,-0.4242
1822,,0.321522,-0.02997,9.2462,-0.0519128,-0.0627544,-0.360189,-0.40973,-0.0523593,-0.360402
1823,,0.325542,-0.030254,9.57183,-0.0285729,-0.0403588,-0.303252,-0.339668,-0.0290194,-0.303465
1824,,0.333737,-0.0300959,9.90278,-0.00763762,-0.0202553,-0.252172,-0.276842,-0.0080841,-0.252385
1825,,0.347678,-0.0299164,10.2401,0.0113213,-0.00203365,-0.205873,-0.219919,0.0108748,-0.206086
1826,,0.366029,-0.0297187,10.5827,0.0286943,0.0146806,-0.163402,-0.167727,0.0282477,-0.163615
1827,,0.385377,-0.0295004,10.9317,0.0447491,0.0301439,-0.124107,-0.119462,0.0443025,-0.12432
1828,,0.3956,-0.029265,11.286,0.0594985,0.0443669,-0.087957,-0.0750851,0.0590519,-0.0881705
1829,,0.369518,-0.0285987,11.6457,0.0723276,0.0567544,-0.0564331,-0.0364013,0.0718809,-0.0566468
1830,,0.151585,-0.0303736,12.0166,0.0796867,0.0638779,-0.0383685,-0.0142605,0.07924,-0.0385822
1831,,-0.242712,-0.0317203,12.392,0.0760925,0.0604384,-0.0473212,-0.0252915,0.0756459,-0.0475346
1832,,-0.35069,-0.0305939,12.7726,0.0645522,0.0493249,-0.0757295,-0.0601587,0.0641057,-0.0759426
1833,,-0.0619758,-0.0302696,13.1596,0.0572836,0.0423203,-0.0935884,-0.0820483,0.0568371,-0.0938014
1834,,-0.2153,-0.0299319,13.552,0.0530671,0.0382526,-0.103941,-0.0947129,0.0526206,-0.104154
1835,,-0.819113,-0.0295765,13.9507,0.0367206,0.0224722,-0.143948,-0.143703,0.0362741,-0.144161
1836,,-0.735064,-0.0308003,14.3587,0.0135643,9.91E-05,-0.20072,-0.213217,0.0131178,-0.200933
1837,,-0.124807,-0.0316002,14.772,0.00455923,-0.00864339,-0.223031,-0.24047,0.00411282,-0.223243
1838,,0.249179,-0.0311779,15.1917,0.0129246,-0.000631019,-0.202849,-0.215627,0.0124783,-0.203061
1839,,0.363501,-0.0311298,15.6178,0.0284664,0.0143183,-0.165036,-0.169185,0.0280202,-0.165249
1840,,0.343505,-0.0314465,16.0511,0.0438456,0.0291297,-0.127601,-0.123241,0.0433995,-0.127812
1841,,0.31934,-0.0317322,16.4909,0.0567839,0.0416039,-0.09614,-0.0846604,0.0563378,-0.0963517
