year,observations,totalforcing,aerosolforcing,high,low
1765,,0.00,0.00,0.00,0.00
1766,,0.13,0.00,0.01,0.00
1767,,0.27,0.00,0.02,0.01
1768,,0.28,0.00,0.04,0.02
1769,,0.24,-0.00,0.06,0.02
1770,,0.24,-0.00,0.07,0.03
1771,,0.28,-0.00,0.08,0.03
1772,,0.30,-0.01,0.10,0.04
1773,,0.29,-0.01,0.11,0.05
1774,,0.28,-0.01,0.12,0.05
1775,,0.27,-0.01,0.13,0.05
1776,,0.28,-0.01,0.14,0.06
1777,,0.31,-0.01,0.15,0.06
1778,,0.34,-0.01,0.16,0.07
1779,,0.35,-0.01,0.17,0.07
1780,,0.34,-0.02,0.18,0.07
1781,,0.33,-0.02,0.18,0.08
1782,,0.29,-0.02,0.19,0.08
1783,,0.18,-0.02,0.19,0.08
1784,,0.09,-0.02,0.18,0.07
1785,,0.16,-0.02,0.17,0.07
1786,,0.29,-0.02,0.17,0.07
1787,,0.35,-0.02,0.17,0.07
1788,,0.36,-0.02,0.18,0.08
1789,,0.25,-0.02,0.19,0.08
1790,,0.09,-0.02,0.18,0.08
1791,,0.11,-0.03,0.17,0.07
1792,,0.23,-0.03,0.16,0.07
1793,,0.29,-0.03,0.16,0.07
1794,,0.29,-0.03,0.17,0.07
1795,,0.26,-0.03,0.17,0.08
1796,,0.25,-0.03,0.17,0.08
1797,,0.26,-0.03,0.17,0.08
1798,,0.28,-0.03,0.18,0.08
1799,,0.29,-0.03,0.18,0.08
1800,,0.30,-0.03,0.18,0.08
1801,,0.33,-0.03,0.19,0.08
1802,,0.32,-0.03,0.19,0.09
1803,,0.31,-0.03,0.20,0.09
1804,,0.31,-0.03,0.20,0.09
1805,,0.31,-0.03,0.20,0.09
1806,,0.30,-0.03,0.20,0.09
1807,,0.29,-0.03,0.21,0.09
1808,,-0.21,-0.03,0.19,0.08
1809,,-1.35,-0.03,0.10,0.05
1810,,-1.75,-0.03,-0.04,-0.01
1811,,-0.96,-0.03,-0.14,-0.05
1812,,-0.28,-0.03,-0.18,-0.07
1813,,-0.08,-0.03,-0.17,-0.06
1814,,-0.60,-0.03,-0.18,-0.07
1815,,-2.06,-0.03,-0.27,-0.10
1816,,-2.56,-0.03,-0.43,-0.17
1817,,-1.39,-0.03,-0.54,-0.21
1818,,-0.27,-0.03,-0.55,-0.22
1819,,0.19,-0.03,-0.49,-0.19
1820,,0.31,-0.03,-0.42,-0.16
1821,,0.32,-0.03,-0.35,-0.13
1822,,0.32,-0.03,-0.28,-0.11
1823,,0.33,-0.03,-0.23,-0.08
1824,,0.33,-0.03,-0.18,-0.06
1825,,0.35,-0.03,-0.13,-0.04
1826,,0.37,-0.03,-0.09,-0.03
1827,,0.39,-0.03,-0.05,-0.01
1828,,0.40,-0.03,-0.01,0.00
1829,,0.37,-0.03,0.02,0.02
1830,,0.15,-0.03,0.04,0.02
1831,,-0.24,-0.03,0.03,0.02
1832,,-0.35,-0.03,0.00,0.01
1833,,-0.06,-0.03,-0.02,0.00
1834,,-0.22,-0.03,-0.03,-0.00
