Year,Crude Proved Oil Reserves (billion barrels),Total Recoverable Coal Reserves (billion BOE),Proved Reserves of Natural Gas (billion BOE),Total Fossil Fuel Reserves (billion BOE),Total Oil Supply (annual million barrels),Total Primary Coal Production (million BOE),Dry Natural Gas Production (million BOE),Total Fossil Fuel Production (million BOE),Total Fossil Fuel Production (billion BOE),Fossil Fuel Reserves Expansion (billion BOE),Remaining Carbon Budget (GtCO2) - IPCC,Remaining Carbon Budget (GtCO2) - OCI,Carbon Content of Proved Oil Reserves (GtCO2),Carbon Content of Total Coal Reserves (GtCO2),Carbon Content of Proved Gas Reserves (GtCO2),Carbon Content of Total Proved Fossil Fuel Reserves (GtCO2),,
1990,1000.51262,,687.5056897,,24249.03258,15496.48448,12722.04307,52467.56013,52.46756013,,,,447.9695205,,240.9558467,,,
1991,998.74547,,726.8253448,,24213.77161,14747.22759,12933.36312,51894.36231,51.89436231,,,,447.1782967,,254.7365338,,,
1992,989.44345,,754.5975862,,24291.682,14623.13276,12949.66524,51864.48,51.86448,,,,443.0134103,,264.4701026,,,
1993,996.10477,,842.1332759,,24491.98726,14234.05862,13190.57995,51916.62583,51.91662583,,,,445.9959497,,295.149465,,,
1994,998.3357,,864.4522414,,25052.37674,14526.57414,13287.67123,52866.6221,52.8666221,,,,446.9948263,,302.9717788,,,
1995,999.26084,,858.95,,25661.19042,14895.08448,13466.33358,54022.60848,54.02260848,,,,447.4090485,,301.0433624,,,
1996,1007.36815,,850.907069,,26274.92089,15131.96724,13875.67758,55282.56571,55.28256571,,,,451.0390155,,298.2244894,,,
1997,1018.51542,,852.937931,,27090.21258,15972.21724,13867.03208,56929.4619,56.9294619,,,,456.0300942,,298.9362625,,,
1998,1020.07466,,877.1668966,,27623.46786,16055.61552,14116.36614,57795.44951,57.79544951,,,,456.7282283,,307.4279899,,,
1999,1032.75268,4212.668197,886.542069,,27316.04435,15903.39655,14456.94722,57676.38812,57.67638812,,,,462.4046849,2523.587259,310.7137847,,,
2000,1016.77222,4212.668197,887.9244828,6117.364899,28368.13898,16137.22586,15017.23364,59522.59848,59.52259848,,1412.8766,886,455.2495938,2523.587259,311.1982908,3290.035144,,
2001,1028.13239,4212.668197,911.8782759,6152.678863,28344.7352,16892.94138,15317.97981,60555.65639,60.55565639,94.83656159,1383.8836,855.52,460.3359963,2523.587259,319.5935762,3303.516832,,
2002,1031.95448,4212.668197,940.9586207,6185.581297,28130.79514,17384.41034,15614.08508,61129.29057,61.12929057,93.45809122,1354.0098,825.04,462.0472989,2523.587259,329.7856069,3315.420165,,
2003,1213.11185,4212.668197,949.2018966,6374.981943,29021.00913,18433.07414,16109.08652,63563.16979,63.56316979,250.5299364,1323.6589,793.72,543.1586997,2523.587259,332.6746965,3399.420655,,
2004,1265.02558,3902.684508,1048.112586,6215.822674,30307.89414,19491.80517,16489.27141,66288.97073,66.28897073,-95.59609908,1291.8767,761.08,566.4025532,2336.327628,367.3407499,3270.070931,,
2005,1277.22766,3902.684508,1042.522241,6222.43441,30849.91592,21171.11552,16964.33048,68985.36191,68.98536191,72.9007059,1259.1403,726.88,571.8659125,2336.327628,365.3814552,3273.574995,,,,,
2006,1292.93553,3902.684508,1055.962586,6251.582624,30843.02321,22361.09828,17584.70354,70788.82503,70.78882503,98.13357674,1224.5322,691.72,578.8989542,2336.327628,370.0920048,3285.318587,,,,,
2007,1316.66242,3496.213525,1067.392586,5880.268531,30786.6748,23298,17939.17133,72023.84613,72.02384613,-300.5252686,1190.6581,655.36,589.5224319,2092.423026,374.0979721,3056.04343,,,,,
2008,1332.04308,3496.213525,1071.33,5899.586605,31198.66315,24153.09655,18563.73239,73915.49209,73.91549209,91.34191992,1155.9399,617.68,596.4089686,2092.423026,375.4779503,3064.309945,,,,,
2009,1340.01132,3496.213525,1079.721724,5915.946569,30894.41087,24903.33966,18132.36992,73930.12044,73.93012044,90.27545623,1121.0382,579.64,599.9766684,2092.423026,378.4190678,3070.818762,,,,,
2010,1355.7434,3566.807541,1144.514655,6067.065596,31817.36145,26012.06724,19302.41521,77131.84391,77.13184391,225.0491479,1084.8887,542.08,607.0205499,2137.102322,401.1275861,3145.250458,,,,,
2011,1473.76097,3664.573033,1156.584483,6294.918486,31931.27966,27670.11379,19998.85462,79600.24807,79.60024807,304.9847333,1047.8584,502.48,659.9,2194.795069,405.4,3260.014605,,,,,
2012,1525.95684,3664.573033,1180.102586,6370.632459,32612.06207,,,,,,1009.3,461.8,683.2319155,2194.8,413.6003848,3291.62737,,,,,
